youtube,facebook,newspaper,sales
200.92,142.17,145.41,943.0419
156.26,129.85,62.7,856.2597
124.38,187.57,140.04,964.9689
157.69,187.48,143.94,1017.4412
158.23,222.41,116.04,1115.299
132.48,181.55,119.84,932.3739
121.12,213.64,144.22,1022.3899
107.64,82.63,125.95,650.0298
189.76,173.05,103.53,1001.1707
117.25,115.05,133.46,713.2191
156.36,188.46,129.17,1005.0174
169.8,122.69,102.01,874.3332
143.45,157.46,125.61,916.1398
177.03,214.82,63.78,1112.9273
148.75,138.96,58.57,843.1198
168.93,182.55,108.86,1017.9849
189.96,150.95,130.04,949.6695
166.56,181.24,88.28,1008.7536
137.26,195.82,108.96,1006.2882
137.87,210.78,101.65,1054.9753
160,179,143.8,981.0869
140.43,121.72,113.7,831.7965
170.61,176.41,130.92,1025.186
156.42,192.67,130.9,1027.3744
180.95,202.28,77.82,1087.4779
110.74,153.87,84.67,821.8836
148.95,238.69,110.76,1151.7363
192.89,185.29,105.61,1095.9251
115.94,191.46,133.62,952.9432
138.01,153.15,137.81,857.6706
174.96,150.03,75.93,936.0747
184.49,250.92,104.95,1224.9608
147.26,216.38,135.13,1076.0134
138.94,155.19,87.59,879.3122
151.7,149.14,141.88,906.1153
144.67,193.94,56.04,985.0098
135.11,225.6,94.56,1078.8117
131.93,220.54,85.07,1066.0597
173.97,209.65,56.69,1094.5341
148.08,152.95,86.68,900.0452
142.87,184.7,105.38,986.284
191.4,93.34,78.97,849.4839
126,208.56,71.59,990.2271
139.3,231.12,106.48,1092.1037
132.43,209.71,94.61,1006.7747
173.88,137.26,139.49,896.7635
155.3,131.24,67.61,838.6905
147.39,152.3,148.82,890.2737
169.77,200.86,51.7,1085.1738
172.44,189.29,102.15,1057.0585
130.83,240.68,84.16,1112.1843
128.7,183.25,64.08,941.3308
153.72,233.35,83.76,1137.2763
182.64,165.54,91.62,1009.6772
129.79,156.48,91.37,856.1334
164.2,192.61,105.4,1031.6295
133.31,175.84,73.56,953.2031
214.44,158.55,85.23,1051.7714
153.36,105.91,82.46,789.6876
201.6,218.37,146.31,1175.8883
93.17,105.81,83.52,667.3236
158.85,151.26,130.57,900.6067
177.03,112.3,143.46,840.6444
154.85,207.35,107.32,1056.4672
145.43,157.7,117.3,896.9838
164.96,219.78,118.22,1118.0255
130.27,154.86,52.85,874.4517
137.47,232.85,115.6,1132.5393
135.43,154.81,87.14,891.5606
156.64,165.36,141.25,957.2831
217.16,132.52,61.36,974.0131
126.42,193.95,120.27,974.5038
142.96,213.38,75.34,1059.8281
127.83,184.86,126.39,950.9155
151.91,212.36,119.2,1048.7032
149.97,174.02,120.82,974.0583
140.52,154.14,116.07,872.2583
149.04,140.65,144.11,881.2395
117.94,193.93,116.89,961.4333
132.39,163.17,111.52,901.9713
119.07,102.22,147.09,725.0986
133.97,143.65,56.05,853.6638
105.73,193.93,75.53,933.6112
144.66,198.07,110.55,1051.8756
116.75,151.16,59.47,836.0751
168.59,127.91,51.77,845.1485
151.24,129.64,142.36,840.9183
161.33,176.74,93.69,991.4154
145.85,236.06,103.23,1140.59
129.52,217.4,88.9,1041.4557
137.17,188.93,114.23,973.5898
151.87,189.8,126.52,996.9325
138.11,214.45,143.01,1061.9141
167.83,182.27,133.53,1026.1827
94.85,129.23,59.28,714.0127
135.11,170.74,114.02,934.5084
112.37,149.16,96.05,816.1481
161.84,234.23,68.37,1141.2499
198.89,152.79,107.64,996.062
169.21,155.46,134.11,954.2026
160.46,172.69,143.41,995.7367
147.76,143.75,124.55,894.0036
121.43,177.36,104.58,903.6976
150.6,143.78,59.71,906.7426
113.62,152.62,62.73,845.6224
163.33,194.47,78.56,1064.962
191.05,174.8,121.68,1072.913
169.71,169.18,133.43,983.0711
164.15,167.45,88.76,951.3846
146.38,153.81,148.02,918.8626
151.65,241.17,63.79,1149.9182
161.75,138.72,97.57,895.0838
168.91,139.76,112.61,896.7372
108.57,133.86,127.13,759.8641
205.91,196.75,101.38,1126.236
163.55,129.76,122,865.2776
157.78,116.64,138.61,837.8007
212.29,181.67,86.68,1095.4647
182.64,175.54,62.69,998.3166
116.06,189.99,90.72,949.5834
141.09,200.6,53.11,1030.8173
123.99,161.24,102.11,865.1047
146.3,193.08,95.72,1009.0051
81.35,174.74,60.06,874.5008
164.09,158.35,143.66,951.3339
149.53,200.64,110.5,1019.4393
119.59,140.76,82.75,816.0833
157.54,209.71,86.17,1065.1021
171.75,171.49,142.03,1002.8298
156.05,138.28,139.29,882.8088
69.3,200.74,145.27,901.6549
124.69,130.07,67.25,802.5247
152.97,123.21,120.69,841.7747
95.14,175.08,139.13,871.7043
135.17,139.99,85.27,832.4317
177.15,134.05,148.55,891.1531
139.91,248.48,94.73,1144.6406
141.45,180.7,74.64,950.1789
168.14,116.85,86.83,843.3946
148.14,187.12,58.37,1007.1282
112.57,226.62,71.1,1051.4176
157.2,230.8,58.08,1107.4708
124.6,259.12,75.91,1108.7567
159.25,131.85,99.47,879.356
101.72,131.88,90.59,736.9868
175.81,226.98,132.04,1155.658
198.48,160.2,100.03,1020.2945
144.74,178.02,77.1,969.6295
166.18,231.62,85.33,1127.6531
115.45,162.18,59.16,889.4368
185.86,182.32,87.02,1066.9071
144.72,140.25,138.23,861.4133
59.59,117.3,56.76,618.9748
150.52,184.69,126.52,968.5809
153.8,146.38,51.98,877.1224
132.6,221.54,118.22,1064.6781
125.15,183.67,98.12,941.8134
131.11,175.35,90.99,931.4852
124.28,85.9,73.98,653.9037
158.8,153.92,127.83,914.6542
144.85,120.07,141.27,804.6096
183.82,86.7,55.57,778.7202
199.2,158.31,65.05,1000.3383
179.2,257.93,56.9,1256.2542
121.26,180.42,102.65,918.3826
171.6,228.43,129.88,1147.0796
145.62,128.85,96.59,836.0811
154.64,211.04,62.77,1068.4162
178.27,119.02,132.02,883.4456
189.76,128.56,54.65,914.184
85.37,194.74,133.73,891.2631
157.99,158.37,91.54,939.652
145.74,148.3,79.59,863.7876
160.55,181.54,144.51,993.4357
168.39,199.59,117.58,1066.1687
181.81,195.55,99.24,1093.8423
90.68,143.97,106.66,766.9297
161.08,205.99,54.28,1086.4163
132.06,114.71,56.75,742.7653
156.17,245.83,91.25,1157.7276
159.45,128.15,75.44,871.6679
102.53,177.71,57.8,876.7132
129.35,135.4,104,813.1302
177.46,198.43,63.98,1074.1501
161.6,149.95,129.95,951.2336
171.17,186.73,110.81,1045.6111
162.11,104.68,75.22,788.7881
184.82,286.86,88.35,1344.6358
155.59,215.29,100.86,1112.9552
182.44,156.61,94.51,1001.253
173.75,154.54,122.69,934.6806
135.98,162.44,99.58,916.5146
157.28,190.08,54.88,1045.2025
161.96,241.37,58.63,1153.6824
127.64,167.62,88.38,902.4414
176.49,252.28,146.54,1205.6415
114.67,119.26,144.33,760.318
112.3,155.23,85.05,854.8456
130.24,101.32,64.27,722.4827
145.63,175.39,93.75,966.1562
